ad_ed	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
79-015	84	99.00%	2	12	0	2	25	10	0	24	0	8	0	1	0
79-016	122	99.00%	5	16	0	1	36	24	0	35	1	4	0	0	0
79-017	103	99.00%	7	20	0	4	23	15	0	23	1	9	1	0	0
79-018	100	99.00%	5	15	0	2	22	18	0	23	3	11	0	0	1
79-019	85	99.00%	0	12	1	6	37	8	0	17	1	3	0	0	0
79-020	46	99.00%	0	4	0	2	16	11	0	11	0	2	0	0	0
79-021	235	99.00%	5	27	2	10	68	39	0	57	4	18	3	2	0
79-022	89	99.00%	1	9	0	1	28	21	0	20	0	8	0	1	0
79-023	159	99.00%	0	17	0	3	56	30	1	38	1	13	0	0	0
79-024	2	99.00%	0	0	0	0	0	1	0	1	0	0	0	0	0
79-025	54	99.00%	1	7	1	0	14	11	0	13	1	6	0	0	0
79-026	56	99.00%	2	14	1	2	16	7	0	13	0	1	0	0	0
79-027	69	99.00%	4	10	0	1	24	7	0	13	0	10	0	0	0
79-028	62	99.00%	1	8	0	0	15	11	0	19	4	3	0	0	1
79-029	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
79-030	82	99.00%	3	14	0	2	23	13	0	16	4	6	0	1	0
79-031	96	99.00%	2	11	0	4	20	18	0	20	2	17	0	1	1
79-032	106	99.00%	0	10	2	3	47	15	0	22	2	3	0	2	0
79-033	161	99.00%	3	16	2	1	32	30	0	42	11	22	2	0	0
79-034	104	99.00%	3	6	0	4	39	9	0	24	2	17	0	0	0
79-035	127	99.00%	5	11	0	6	38	28	0	25	3	10	1	0	0
79-036	172	99.00%	7	21	0	9	37	25	0	50	5	16	1	1	0
79-037	92	99.00%	1	8	0	5	25	22	1	20	0	6	1	3	0
79-038	114	99.00%	4	10	0	3	36	23	0	25	4	6	0	2	1
79-039	148	99.00%	5	6	0	1	61	22	1	29	4	14	1	4	0
79-040	165	99.00%	2	25	0	4	50	30	0	31	3	17	3	0	0
79-041	130	99.00%	3	19	0	2	40	25	0	24	5	8	0	2	2
79-042	126	99.00%	1	12	1	4	45	15	1	29	2	16	0	0	0
79-043	124	99.00%	5	15	1	4	42	17	0	26	2	10	1	1	0
79-044	120	99.00%	2	15	0	3	36	21	0	23	5	14	0	1	0
79-045	76	99.00%	0	10	1	1	39	4	2	9	3	6	0	1	0
79-046	130	99.00%	2	7	0	6	54	26	0	20	0	11	1	2	1
79-047	125	99.00%	3	9	2	3	40	24	0	32	3	6	1	2	0
79-048	129	99.00%	5	11	1	3	45	18	0	28	3	10	2	3	0
79-049	145	99.00%	4	9	2	2	49	24	0	33	3	18	0	1	0
79-050	76	99.00%	0	12	0	0	25	15	0	11	3	6	0	4	0
79-051	155	99.00%	2	12	0	3	85	8	1	32	6	5	1	0	0
79-052	80	99.00%	2	12	0	1	29	18	0	11	3	4	0	0	0
79-053	55	99.00%	2	6	0	0	17	9	0	16	2	3	0	0	0
79-054	102	99.00%	4	12	0	1	33	6	0	29	9	7	1	0	0
79-055	28	99.00%	0	4	0	1	9	3	0	6	2	3	0	0	0
79-056	82	99.00%	1	12	0	0	30	12	0	14	3	9	1	0	0
79-057	185	99.00%	2	26	0	1	63	18	0	49	16	8	1	0	1
79-058	107	99.00%	1	9	1	9	28	16	0	33	5	4	1	0	0
79-059	113	99.00%	0	19	0	6	29	17	0	23	5	14	0	0	0
79-060	79	99.00%	1	8	1	5	14	12	0	31	0	4	0	3	0
79-061	119	99.00%	6	17	0	4	29	17	0	33	1	8	0	3	1
79-062	126	99.00%	1	20	1	6	31	17	0	37	2	8	1	2	0
79-063	112	99.00%	0	8	0	6	36	30	0	14	4	11	0	3	0
79-064	116	99.00%	2	7	2	10	26	20	0	24	4	16	0	5	0
79-065	86	99.00%	6	8	0	3	25	7	0	20	2	15	0	0	0
79-066	143	99.00%	2	21	0	9	41	23	2	30	2	11	0	2	0
79-067	93	99.00%	0	10	0	2	28	9	0	35	0	9	0	0	0
79-068	216	99.00%	1	9	0	3	125	9	0	58	9	1	0	1	0
79-069	238	99.00%	2	9	0	1	136	13	2	51	19	2	0	3	0
79-070	62	99.00%	1	5	0	1	16	10	0	9	8	10	2	0	0
79-071	44	99.00%	2	6	0	2	17	8	0	7	0	1	0	1	0
79-072	150	99.00%	4	27	1	6	35	18	0	20	20	18	0	0	1
79-073	102	99.00%	3	11	0	4	15	15	0	21	13	19	0	0	1
79-074	18	99.00%	2	1	0	0	3	3	0	2	1	3	3	0	0
79-075	125	99.00%	2	21	2	3	29	16	0	40	3	9	0	0	0
79-076	126	99.00%	3	12	0	9	39	23	1	34	1	3	0	1	0
79-077	62	99.00%	1	6	0	1	13	9	0	26	0	6	0	0	0
79-078	10	99.00%	0	1	0	0	8	1	0	0	0	0	0	0	0
79-079	44	99.00%	0	0	0	1	13	12	0	12	3	2	0	1	0
79-080	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
79-081	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
79-082	9	99.00%	1	0	0	1	1	3	0	3	0	0	0	0	0
79-083	82	99.00%	1	12	0	0	38	13	0	13	3	2	0	0	0
79-084	190	99.00%	3	26	0	2	71	15	0	47	16	7	1	1	1
79-085	84	99.00%	2	6	0	1	42	10	0	16	0	7	0	0	0
79-086	84	99.00%	0	17	0	4	17	14	0	24	2	5	0	0	1
79-087	59	83.33%	2	2	0	5	26	3	0	15	1	5	0	0	0
79-088	22	99.00%	2	0	0	1	9	2	0	7	0	1	0	0	0
79-089	12	99.00%	0	1	1	0	5	3	0	1	1	0	0	0	0
79-090	240	99.00%	0	6	0	2	129	14	0	70	9	6	0	3	1
82-117	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
82-118	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
84-001	103	99.00%	4	20	0	5	15	11	0	23	2	23	0	0	0
84-002	71	99.00%	3	15	0	2	12	11	0	11	3	14	0	0	0
84-003	120	99.00%	2	23	0	4	5	21	0	29	2	33	0	0	1
84-004	131	99.00%	4	21	0	4	18	27	0	23	5	27	1	1	0
84-005	61	99.00%	2	8	0	1	6	8	1	15	2	17	1	0	0
84-006	118	99.00%	4	16	0	4	17	17	2	30	0	27	0	1	0
84-007	106	99.00%	7	19	0	2	19	13	0	21	6	17	1	1	0
84-008	109	99.00%	7	14	0	4	17	11	1	33	4	17	0	1	0
84-009	85	99.00%	7	8	1	2	5	3	0	22	12	24	0	1	0
84-010	145	99.00%	9	12	1	2	17	2	0	39	22	40	0	1	0
84-011	119	99.00%	5	23	1	8	15	18	0	29	1	17	2	0	0
84-012	79	99.00%	2	11	0	8	13	10	0	24	2	8	0	1	0
84-013	87	99.00%	0	13	1	4	15	17	0	20	4	13	0	0	0
84-014	121	99.00%	3	22	1	4	18	4	0	44	11	11	1	1	1
84-015	78	99.00%	2	10	0	1	8	11	0	20	11	12	1	2	0
84-016	123	99.00%	7	20	1	3	23	11	0	32	3	21	1	1	0
84-017	43	99.00%	2	2	0	2	10	5	0	11	2	7	1	1	0
84-018	42	99.00%	1	10	0	1	8	2	0	17	1	0	1	0	1
84-019	159	99.00%	4	15	1	33	21	25	0	44	1	12	2	1	0
84-020	144	99.00%	1	44	0	9	27	6	0	44	2	7	1	2	1
84-021	21	99.00%	0	5	0	1	5	2	0	8	0	0	0	0	0
84-022	3	99.00%	1	1	0	0	0	0	0	0	0	1	0	0	0
84-023	137	99.00%	3	8	0	15	41	21	0	41	2	6	0	0	0
84-024	109	99.00%	3	16	0	10	22	17	0	32	1	3	2	3	0
84-025	122	99.00%	2	22	0	9	27	20	0	35	2	4	1	0	0
84-026	72	99.00%	0	23	0	1	7	9	1	24	1	4	1	1	0
84-027	100	99.00%	4	10	0	6	20	21	0	37	0	1	1	0	0
84-028	111	99.00%	3	16	1	6	17	20	2	33	2	10	0	1	0
84-029	36	99.00%	0	4	0	2	11	9	0	7	0	2	0	0	1
84-030	39	99.00%	2	2	0	1	9	6	0	11	1	6	0	0	1
84-031	19	99.00%	0	1	1	2	2	3	0	7	1	2	0	0	0
84-032	18	99.00%	0	1	0	1	4	3	0	7	1	1	0	0	0
84-033	49	99.00%	0	10	0	2	6	10	1	13	2	5	0	0	0
84-034	137	99.00%	0	31	1	10	33	8	0	40	6	5	0	1	2
84-035	97	99.00%	2	29	0	4	12	12	1	26	6	5	0	0	0
84-036	60	99.00%	0	6	0	3	13	13	0	21	1	3	0	0	0
84-037	109	99.00%	1	17	0	1	20	26	0	25	1	15	2	0	1
84-038	87	99.00%	1	17	0	9	7	15	1	26	0	10	1	0	0
84-039	124	99.00%	2	26	2	9	22	21	0	26	3	12	0	1	0
84-040	1	99.00%	0	0	0	0	1	0	0	0	0	0	0	0	0
84-041	4	99.00%	0	3	0	0	0	1	0	0	0	0	0	0	0
84-042	125	99.00%	2	20	1	11	24	18	0	34	5	9	0	1	0
84-043	128	99.00%	3	30	0	20	18	12	0	31	1	12	0	0	1
84-044	120	99.00%	5	24	0	11	16	20	0	29	0	15	0	0	0
84-045	86	99.00%	1	11	0	4	10	18	0	28	5	8	1	0	0
84-046	105	99.00%	6	17	1	5	17	18	0	24	0	17	0	0	0
84-047	49	99.00%	0	9	0	7	4	4	0	13	3	8	0	0	1
84-048	79	99.00%	0	11	0	5	15	16	0	25	0	4	2	1	0
84-049	3	99.00%	0	0	0	0	0	1	0	2	0	0	0	0	0
84-050	3	99.00%	0	0	0	0	0	1	0	0	1	1	0	0	0
84-051	3	99.00%	0	0	0	0	1	0	0	2	0	0	0	0	0
84-052	4	99.00%	0	0	0	0	2	1	0	1	0	0	0	0	0
84-053	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
84-054	2	99.00%	0	0	0	0	2	0	0	0	0	0	0	0	0
84-055	7	99.00%	0	2	0	0	2	0	0	3	0	0	0	0	0
84-056	4	99.00%	0	1	0	0	2	0	0	0	1	0	0	0	0
84-057	101	99.00%	6	22	0	6	22	8	0	32	1	4	0	0	0
84-058	102	99.00%	4	18	2	20	8	11	0	33	1	5	0	0	0
84-059	105	99.00%	3	27	0	8	12	8	0	39	1	7	0	0	0
84-060	73	99.00%	2	10	0	8	13	8	0	24	0	8	0	0	0
84-061	116	99.00%	3	21	0	12	18	14	2	36	1	7	0	2	0
84-062	82	99.00%	0	7	1	19	10	13	0	24	1	6	0	0	1
84-063	96	99.00%	4	5	0	24	14	15	0	21	4	9	0	0	0
84-064	1	99.00%	0	0	0	0	0	0	0	1	0	0	0	0	0
84-065	1	99.00%	0	0	0	0	0	0	0	0	0	1	0	0	0
84-066	1	99.00%	0	1	0	0	0	0	0	0	0	0	0	0	0
84-067	1	99.00%	0	1	0	0	0	0	0	0	0	0	0	0	0
84-068	3	99.00%	0	1	0	0	0	0	0	2	0	0	0	0	0
84-069	48	99.00%	0	11	0	3	7	6	1	11	1	8	0	0	0
84-070	6	99.00%	0	4	0	0	0	0	0	1	0	1	0	0	0
84-071	203	99.00%	5	50	3	12	27	30	1	53	7	14	1	0	0
84-072	154	99.00%	3	20	0	6	37	21	1	54	4	8	0	0	0
84-073	18	99.00%	0	4	1	1	4	4	0	4	0	0	0	0	0
84-074	58	99.00%	0	9	0	5	3	9	0	21	4	7	0	0	0
84-075	65	99.00%	3	4	1	6	16	9	0	23	0	3	0	0	0
84-076	2	99.00%	0	0	0	0	0	0	0	2	0	0	0	0	0
84-077	49	99.00%	3	4	0	2	6	4	0	26	0	4	0	0	0
84-078	15	99.00%	1	4	1	0	1	3	0	1	0	1	2	1	0
84-079	2	99.00%	0	0	0	0	1	1	0	0	0	0	0	0	0
84-080	182	99.00%	2	33	5	6	22	15	1	68	15	12	1	2	0
84-081	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
84-082	140	99.00%	3	23	0	4	28	15	1	36	2	26	0	2	0
84-083	111	99.00%	3	17	0	8	15	19	1	29	2	16	0	1	0
84-084	36	99.00%	0	7	0	1	5	6	0	8	0	2	6	1	0
84-085	4	99.00%	0	0	0	0	0	0	0	4	0	0	0	0	0
85-001	109	99.00%	3	12	1	4	23	13	0	45	2	3	0	3	0
85-002	9	99.00%	0	1	0	0	2	0	0	2	1	0	1	2	0
85-003	137	99.00%	1	14	0	2	26	16	0	59	2	10	6	1	0
85-004	116	99.00%	4	16	1	3	14	34	0	39	0	5	0	0	0
85-005	126	99.00%	2	17	0	7	18	22	0	51	1	5	0	0	3
85-006	83	99.00%	5	22	0	3	8	17	0	26	1	1	0	0	0
85-007	74	99.00%	0	13	0	6	12	15	0	22	3	2	0	1	0
85-008	79	99.00%	1	11	0	3	11	18	1	25	2	6	0	1	0
85-009	105	99.00%	5	10	0	5	21	18	0	40	1	3	0	1	1
85-010	113	99.00%	1	13	0	2	15	16	0	53	1	12	0	0	0
85-011	101	99.00%	0	6	0	2	23	23	1	38	1	4	1	2	0
85-012	97	99.00%	0	9	0	2	19	20	0	43	0	3	0	1	0
85-013	203	99.00%	1	12	0	4	74	19	1	85	2	3	0	2	0
85-014	84	99.00%	1	11	0	4	14	17	0	21	0	12	2	2	0
85-015	100	99.00%	2	12	0	6	15	16	0	43	1	3	0	2	0
85-016	83	99.00%	0	10	0	6	9	18	0	33	0	7	0	0	0
85-017	45	99.00%	1	6	0	3	4	12	0	17	0	2	0	0	0
85-018	5	99.00%	0	0	1	0	0	1	0	3	0	0	0	0	0
85-019	254	99.00%	3	19	0	5	93	33	3	93	3	1	0	1	0
85-020	207	99.00%	2	16	1	3	75	14	0	90	4	1	0	1	0
85-021	164	99.00%	1	23	0	2	61	15	0	53	3	6	0	0	0
85-022	79	99.00%	1	14	0	5	4	18	0	27	3	6	1	0	0
85-023	76	99.00%	0	7	0	0	15	15	3	29	1	1	3	2	0
85-024	190	99.00%	4	24	2	6	49	16	3	79	4	3	0	0	0
85-025	133	99.00%	4	20	0	2	32	21	0	48	2	4	0	0	0
85-026	125	99.00%	1	12	0	2	34	12	0	57	1	5	0	1	0
85-027	78	99.00%	0	14	1	7	11	4	0	27	1	11	1	1	0
85-028	13	99.00%	0	1	0	0	2	0	0	7	0	3	0	0	0
85-029	97	99.00%	2	7	1	2	13	30	0	29	2	9	0	2	0
85-030	118	99.00%	5	5	1	13	11	22	1	51	0	8	1	0	0
85-031	55	99.00%	3	4	0	2	3	14	0	27	1	1	0	0	0
85-032	5	99.00%	0	2	0	0	1	0	0	2	0	0	0	0	0
85-033	108	99.00%	3	11	0	9	20	13	0	46	0	4	1	0	1
85-034	78	99.00%	2	14	0	7	7	15	0	19	2	9	1	2	0
85-036	120	99.00%	2	24	0	6	24	16	1	40	3	4	0	0	0
85-037	184	99.00%	0	9	0	6	76	18	0	65	5	4	1	0	0
85-038	29	99.00%	0	8	0	1	1	8	0	7	1	3	0	0	0
85-039	56	99.00%	1	12	0	2	12	7	0	15	0	5	0	1	1
85-040	25	99.00%	1	4	0	0	6	2	0	10	0	2	0	0	0
85-041	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-042	1	99.00%	0	0	0	0	0	0	0	1	0	0	0	0	0
85-043	97	99.00%	4	10	1	8	9	22	0	27	1	14	1	0	0
85-044	73	99.00%	1	5	0	2	16	20	0	23	0	4	1	1	0
85-045	58	99.00%	0	15	0	1	6	14	0	15	0	6	1	0	0
85-046	78	99.00%	3	8	0	4	17	13	0	25	1	7	0	0	0
85-047	47	99.00%	1	3	0	0	8	9	0	20	0	6	0	0	0
85-048	126	99.00%	3	15	0	6	18	27	0	43	0	12	2	0	0
85-049	2	99.00%	0	0	0	0	1	0	0	0	0	1	0	0	0
85-050	2	99.00%	0	0	0	0	0	0	0	1	0	1	0	0	0
85-051	3	99.00%	0	0	0	0	0	0	0	1	0	2	0	0	0
85-052	110	99.00%	6	18	0	6	10	30	1	34	0	4	1	0	0
85-053	96	99.00%	1	8	0	5	13	19	0	33	1	12	3	0	1
85-054	104	99.00%	3	20	1	9	20	22	0	27	0	2	0	0	0
85-055	150	99.00%	4	25	2	6	20	29	1	42	1	18	0	0	2
85-056	93	99.00%	11	6	0	7	11	18	0	37	2	1	0	0	0
85-057	76	99.00%	1	13	0	1	17	11	0	24	3	6	0	0	0
85-058	136	99.00%	1	24	0	1	11	29	1	46	2	21	0	0	0
85-059	95	99.00%	4	16	0	3	16	17	0	31	1	7	0	0	0
85-060	81	99.00%	2	8	0	2	4	16	0	34	2	12	0	0	1
85-061	156	99.00%	10	24	2	6	13	33	0	50	1	16	1	0	0
85-062	9	99.00%	0	0	0	1	1	1	0	4	0	2	0	0	0
85-063	78	99.00%	2	11	0	9	2	18	0	29	1	3	0	3	0
85-064	96	99.00%	3	19	0	7	12	20	1	25	2	7	0	0	0
85-065	117	99.00%	3	21	0	5	6	28	0	41	4	8	0	1	0
85-066	55	99.00%	2	5	0	4	8	10	0	20	0	6	0	0	0
85-067	109	99.00%	8	17	0	4	24	13	0	32	0	10	0	1	0
85-068	94	99.00%	13	17	0	0	11	20	1	25	0	4	1	1	1
85-069	139	99.00%	27	11	0	2	13	23	0	52	1	9	0	1	0
85-070	81	99.00%	17	18	1	0	10	16	0	14	1	4	0	0	0
85-071	47	99.00%	1	6	0	6	6	3	1	17	1	5	0	1	0
85-072	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-073	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-074	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-075	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-076	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-077	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-078	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-079	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-080	48	99.00%	1	11	0	8	2	12	0	13	0	1	0	0	0
85-081	140	99.00%	1	14	0	3	26	38	0	45	2	11	0	0	0
85-082	72	99.00%	1	11	0	4	10	10	0	18	3	9	2	3	1
85-083	53	99.00%	0	12	0	0	10	3	0	24	1	2	0	1	0
85-084	83	99.00%	1	25	0	3	12	18	0	17	0	6	1	0	0
85-085	2	99.00%	0	0	0	1	0	0	0	1	0	0	0	0	0
86-001	92	99.00%	2	13	0	4	17	13	0	22	0	18	1	2	0
86-002	67	99.00%	3	13	0	0	4	11	0	17	1	15	2	0	1
86-003	39	99.00%	1	5	0	1	11	6	0	6	0	8	0	0	1
86-004	27	99.00%	0	3	0	0	6	4	0	9	1	4	0	0	0
86-005	83	99.00%	2	14	0	0	8	16	0	22	1	18	1	0	1
86-006	94	99.00%	0	11	1	0	16	16	0	26	3	19	0	2	0
86-007	97	99.00%	3	10	0	1	2	18	0	27	1	33	0	0	2
86-008	126	99.00%	6	17	1	3	12	21	0	37	1	28	0	0	0
86-009	66	99.00%	4	9	0	2	8	15	0	10	2	16	0	0	0
86-010	49	99.00%	1	6	0	0	14	10	0	10	0	8	0	0	0
86-011	118	99.00%	4	17	0	1	29	18	0	28	0	20	0	0	1
86-012	7	99.00%	0	1	0	0	0	3	0	2	0	1	0	0	0
86-013	117	99.00%	0	16	1	1	14	27	0	28	2	27	1	0	0
86-014	90	99.00%	5	21	0	5	7	10	0	26	0	13	0	2	1
