ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Tremaine S. Wright	absentee|Jason Salmon	absentee|Write-In	totalAbsentee
57-010	1104	54	209	99.00%	111	67	30	1	124	69	27	14	234
57-011	759	40	112	99.00%	41	54	17	0					0
57-012	775	187	24	99.00%	12	9	3	0					0
57-013	730	203	18	99.00%	4	11	3	0	2	2		2	6
57-014	750	276	88	99.00%	61	20	7	0	85	27	6	2	120
57-015	701	336	133	85.71%	85	32	16	0	106	23	11	3	143
57-016	871	263	197	85.71%	120	60	16	1	98	28	16	7	149
57-017	980	40	207	85.71%	124	72	11	0	127	47	17	2	193
57-018	885	5	217	99.00%	80	104	32	1	62	65	11	9	147
57-019	429	206	80	99.00%	26	40	4	10	15	4	3		22
57-020	40	156	1	99.00%	1	0	0	0					0
57-021	950	57	161	99.00%	114	41	6	0	104	12	6	4	126
57-022	846	255	151	99.00%	79	60	8	4	76	21			97
57-023	642	410	23	99.00%	20	3	0	0	27	6			33
57-024	814	278	169	85.71%	100	36	33	0	115	37	10	4	166
57-025	1230	198	232	99.00%	153	60	19	0	155	64	17	13	249
57-026	853	175	180	99.00%	123	34	23	0					0
57-027	690	228	40	66.67%	27	9	4	0	92	18		12	122
57-028	628	149	44	66.67%	20	10	14	0	83	21		13	117
57-029	739	259	86	66.67%	43	21	22	0	91	30		25	146
57-030	605	51	199	99.00%	49	91	59	0	30	22	19	3	74
57-031	1017	32	333	99.00%	112	186	35	0	56	51	10	3	120
57-032	688	299	92	99.00%	34	45	13	0	1	4	3		8
57-033	498	259	73	99.00%	35	28	10	0	2	4			6
57-034	879	240	87	66.67%	45	33	9	0	116	54	15		185
57-035	946	181	42	66.67%	25	14	3	0	110	39	16	5	170
57-036	976	305	184	99.00%	128	45	11	0	37	3	3	1	44
57-037	827	265	135	99.00%	97	31	7	0	79	16	8	1	104
57-038	939	226	193	99.00%	146	36	11	0	161	42	12	6	221
57-039	920	244	43	66.67%	16	18	9	0	136	32	7	4	179
57-040	798	166	53	66.67%	32	10	11	0					0
57-041	887	355	45	66.67%	32	8	5	0					0
57-042	781	201	44	66.67%	27	8	9	0					0
57-043	1072	148	208	99.00%	148	40	20	0	145	54	40	1	240
57-044	896	100	184	99.00%	98	73	13	0	74	33	8	3	118
57-045	853	190	183	99.00%	89	75	19	0	41	37	10	5	93
57-046	698	234	151	99.00%	66	55	30	0	23	16	6	2	47
57-047	517	207	95	99.00%	70	22	3	0	95	28	7	5	135
57-048	842	181	210	99.00%	137	63	10	0	89	47	14		150
57-049	900	199	219	99.00%	145	58	16	0	104	21	9	3	137
57-050	761	124	159	99.00%	107	45	6	1	97	20	13	4	134
57-051	862	128	170	99.00%	115	50	5	0					0
57-052	731	233	122	99.00%	82	36	4	0					0
57-053	729	143	172	99.00%	94	61	17	0	42	12	9	2	65
57-054	1028	214	258	99.00%	170	77	10	1	109	24	1	2	136
57-055	812	184	136	99.00%	82	43	11	0					0
57-056	971	174	178	99.00%	115	54	9	0					0
57-057	789	164	105	99.00%	69	26	10	0					0
57-058	771	193	166	99.00%	113	46	7	0	81	25		3	109
57-059	807	459	113	99.00%	70	34	9	0	63	18	3	2	86
57-060	683	197	87	99.00%	64	14	9	0					0
57-061	1199	243	214	99.00%	154	46	14	0					0
57-062	520	333	85	99.00%	52	20	13	0					0
57-063	715	253	129	99.00%	95	25	9	0					0
57-064	956	195	181	99.00%	128	43	10	0	57	17	8		82
57-065	591	76	151	99.00%	131	14	6	0					0
57-066	749	101	167	99.00%	110	51	6	0					0
57-094	465	46	76	99.00%	55	16	4	1					0
57-095	467	36	39	66.67%	20	11	8	0					0
57-097	451	184	78	99.00%	33	37	8	0					0
57-098	618	162	84	99.00%	36	35	13	0					0
57-099	837	197	124	99.00%	79	41	4	0					0
57-100	717	161	148	99.00%	96	43	8	1					0
57-101	833	219	203	99.00%	113	69	19	2					0
57-102	629	351	138	99.00%	102	28	8	0					0
57-103	639	639	114	99.00%	79	30	5	0					0
57-104	1077	1077	195	99.00%	139	46	10	0					0
